year,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city,kickoff_time,week_num,total,home,away,attendance,wins,loss,points_for,points_against,points_differential,margin_of_victory,strength_of_schedule,simple_rating,offensive_ranking,defensive_ranking,playoffs,sb_winner,home_score_diff,team_tier
2000,Minnesota Vikings,Chicago Bears,Minnesota Vikings,0,Sun,2000-09-03,1:00PM,30,27,374,1,425,1,Vikings,Minnesota,Bears,Chicago,2000-09-03 13:00:00,1,1029262,513322,515940,64104,11,5,397,371,26,1.6,0.3,1.9,4.3,-2.3,Playoffs,No Superbowl,3,Elite Offense
2000,Kansas City Chiefs,Indianapolis Colts,Indianapolis Colts,0,Sun,2000-09-03,1:00PM,27,14,386,2,280,1,Chiefs,Kansas City,Colts,Indianapolis,2000-09-03 13:00:00,1,1115272,631365,483907,78357,7,9,355,354,1,0.1,0.6,0.6,0.1,0.6,No Playoffs,No Superbowl,-13,Elite Offense
2000,Washington Redskins,Carolina Panthers,Washington Redskins,0,Sun,2000-09-03,1:01PM,20,17,396,0,236,1,Redskins,Washington,Panthers,Carolina,2000-09-03 13:01:00,1,1174332,647424,526908,80257,8,8,281,269,12,0.8,0.2,1.0,-2.9,3.8,No Playoffs,No Superbowl,3,
2000,Atlanta Falcons,San Francisco 49ers,Atlanta Falcons,0,Sun,2000-09-03,1:02PM,36,28,359,1,339,1,Falcons,Atlanta,49ers,San Francisco,2000-09-03 13:02:00,1,964579,422814,541765,54626,4,12,252,413,-161,-10.1,1.5,-8.6,-5.7,-2.9,No Playoffs,No Superbowl,8,
2000,Pittsburgh Steelers,Baltimore Ravens,Baltimore Ravens,0,Sun,2000-09-03,1:02PM,16,0,336,0,223,1,Steelers,Pittsburgh,Ravens,Baltimore,2000-09-03 13:02:00,1,987037,440426,546611,55049,9,7,321,255,66,4.1,-0.2,3.9,0.6,3.3,No Playoffs,No Superbowl,-16,Elite Offense
2000,Cleveland Browns,Jacksonville Jaguars,Jacksonville Jaguars,0,Sun,2000-09-03,1:02PM,27,7,398,0,249,1,Browns,Cleveland,Jaguars,Jacksonville,2000-09-03 13:02:00,1,1057139,581544,475595,72418,3,13,161,419,-258,-16.1,1.5,-14.6,-9.1,-5.5,No Playoffs,No Superbowl,-20,
2000,New England Patriots,Tampa Bay Buccaneers,Tampa Bay Buccaneers,0,Sun,2000-09-03,1:02PM,21,16,296,1,278,1,Patriots,New England,Buccaneers,Tampa Bay,2000-09-03 13:02:00,1,1030594,482336,548258,60292,5,11,276,338,-62,-3.9,1.4,-2.5,-2.7,0.2,No Playoffs,No Superbowl,-5,
2000,New Orleans Saints,Detroit Lions,Detroit Lions,0,Sun,2000-09-03,1:03PM,14,10,187,2,252,3,Saints,New Orleans,Lions,Detroit,2000-09-03 13:03:00,1,980803,504315,476488,64900,10,6,354,305,49,3.1,-2.2,0.9,-1.2,2.1,Playoffs,No Superbowl,-4,
2000,New York Giants,Arizona Cardinals,New York Giants,0,Sun,2000-09-03,1:04PM,21,16,395,2,355,4,Giants,New York,Cardinals,Arizona,2000-09-03 13:04:00,1,1135455,624085,511370,77434,12,4,328,246,82,5.1,-2.7,2.4,-1.3,3.8,Playoffs,No Superbowl,5,
2000,Dallas Cowboys,Philadelphia Eagles,Philadelphia Eagles,0,Sun,2000-09-03,4:05PM,41,14,425,3,167,2,Cowboys,Dallas,Eagles,Philadelphia,2000-09-03 16:05:00,1,1075470,504360,571110,62872,5,11,294,361,-67,-4.2,-0.4,-4.6,-1.5,-3.0,No Playoffs,No Superbowl,-27,
